Region 94 Avg IOU: 0.154609, Class: 0.218697, Obj: 0.546963, No Obj: 0.601459, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.159505, Class: 0.535873, Obj: 0.576682, No Obj: 0.498626, .5R: 0.100000, .75R: 0.000000,  count: 10
Region 94 Avg IOU: 0.116373, Class: 0.369862, Obj: 0.812010, No Obj: 0.604760, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.132683, Class: 0.324493, Obj: 0.621200, No Obj: 0.497128, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 82 Avg IOU: 0.150993, Class: 0.373317, Obj: 0.644520, No Obj: 0.488760, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.108022, Class: 0.511969, Obj: 0.753328, No Obj: 0.605770, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 106 Avg IOU: 0.326472, Class: 0.322453, Obj: 0.366232, No Obj: 0.496366, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: 0.111697, Class: 0.458622, Obj: 0.315025, No Obj: 0.498612, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.168217, Class: 0.442414, Obj: 0.351379, No Obj: 0.496765, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 82 Avg IOU: 0.205226, Class: 0.422664, Obj: 0.851828, No Obj: 0.490188, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.190683, Class: 0.484930, Obj: 0.362872, No Obj: 0.495358, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.220073, Class: 0.302190, Obj: 0.666390, No Obj: 0.603389, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.176177, Class: 0.124907, Obj: 0.619705, No Obj: 0.496806, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.163260, Class: 0.165520, Obj: 0.940323, No Obj: 0.603727, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.087390, Class: 0.253294, Obj: 0.334765, No Obj: 0.500916, .5R: 0.111111, .75R: 0.000000,  count: 9
Region 82 Avg IOU: 0.071811, Class: 0.409226, Obj: 0.646446, No Obj: 0.489331, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.143529, Class: 0.224986, Obj: 0.808176, No Obj: 0.602258, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.185306, Class: 0.349962, Obj: 0.667630, No Obj: 0.496471, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.008597, Class: 0.697482, Obj: 0.953055, No Obj: 0.601157, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.043587, Class: 0.257731, Obj: 0.236064, No Obj: 0.498779, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 82 Avg IOU: 0.166658, Class: 0.295439, Obj: 0.494593, No Obj: 0.490643, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.220156, Class: 0.188355, Obj: 0.595386, No Obj: 0.603409, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: 0.201811, Class: 0.308957, Obj: 0.603731, No Obj: 0.496043, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 82 Avg IOU: 0.155468, Class: 0.423804, Obj: 0.355639, No Obj: 0.489870, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.137683, Class: 0.025432, Obj: 0.743820, No Obj: 0.602070, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.259270, Class: 0.441423, Obj: 0.649813, No Obj: 0.498173, .5R: 0.166667, .75R: 0.000000,  count: 6
Region 82 Avg IOU: 0.222806, Class: 0.106483, Obj: 0.380670, No Obj: 0.487954, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.057590, Class: 0.272334, Obj: 0.373920, No Obj: 0.602992, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.147202, Class: 0.432522, Obj: 0.451237, No Obj: 0.496619, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: 0.105277, Class: 0.371196, Obj: 0.211817, No Obj: 0.500153, .5R: 0.000000, .75R: 0.000000,  count: 7
